Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Big Data & AI Postdoctoral Researcher,$106K-$171K (Glassdoor est.),"AI Postdoctoral Researcher – Cognitive Computing Lab at Baidu USA (CCL-US)

CCL-US invites applications for a number of Postdoctoral Fellowships, to conduct original research in computer science and statistics. Areas of research include statistical learning, deep nets, theoretical computer science, security, natural language processing, computer vision, knowledge graphs, etc. This fellowship should be an excellent opportunity for outstanding fresh PhD graduates who hope to spend one or two years in an industry research lab before going to academia. Those who already have faculty offers are also welcome to apply if they can make proper arrangements with their universities.

Locations: Sunnyvale CA or Bellevue, WA. (Positions in China are also available).

Please send your CV to ccl-job@baidu.com (Intern positions available throughout the year).",4.2,"Baidu USA
4.2","Sunnyvale, CA",-1,51 to 200 Employees,2000,Company - Public,Internet,Information Technology,$50 to $100 million (USD),-1
Senior Data Scientist,$106K-$171K (Glassdoor est.),"Summary

We’re looking for a senior data scientist to drive our data science and analytics group forward! You’ll be joining a group of curious, smart, technically minded yet business savvy data scientists and analysts looking to make a difference to the company by designing and building out our data decisioning capabilities from the ground up!

As a senior data scientist, you’ll work collaboratively with our business, operations, analytics, and IT teams. You’ll be responsible for conceptualizing, designing and building out decision making products for our business in the spaces of marketing / lead gen, business operations, and customer retention.
Our ideal candidate is excited to join our fast-paced culture and is excited to contribute to our growing data science practice!

What we do:
We achieve competitive advantage through data-driven marketing and full management of the customer experience. We’re constantly refining our technology and our strategies, that’s why we’re the industry leader in delivering the best results to the top insurance brands in America.

That’s not just lip service either, we’re consistently awarded partner of the year from brands like AFLAC, Humana, and more. Our work has also been featured on The Dr. Oz Show, Forbes, and Vox -- to name a few.

What you’ll do:
Find new and improved ways for us to use data in our products, operations, and business strategies
Lead new projects and initiatives starting from understanding business to carrying out projects and presenting to stakeholders.
Design and execute data products in marketing, business operations, and customer retention spaces
Act as a subject matter expert with all things data
Work to build out the data science team as we grow

What we’re looking for:
We want people who fit within our Be Real culture. We want a diversity of programmers and writers and designers and data scientists and strategists and more. We’re made up of introverts and extroverts, suits and rebels, corporate types and anti-corporate types. We’re an environment where every person feels their full potential is only limited by their ability to conceive of it and make it happen. Our company grew from entrepreneurial roots but has big company resources to get amazing things done.
5 years of experience in a data science role, building predictive algorithms and data products ideally related to marketing, business operations, or customer retention
Ability to execute projects from problem formulation to influencing stakeholders.
Excellent understanding of machine learning techniques and algorithms such as decision forests, logistic regression, k-means clustering, etc.
Ability to communicate findings clearly and deep understanding of your current business
Proficiency with Python, SQL, Excel, and data visualization tools (Tableau, Power BI, etc.)
Experience with big data platform (i.e. Hadoop)
Intensely curious – always asking questions and not being OK with the status quo. Obsessed with making things better and more efficient.
A lifelong learner that is excited to learn new data science technologies and apply those to technologies to our business
Ability to be objective and follow the facts, cut through noise and create a story with data.
Strong organizational skills including time and project management
Thrives in a fast-paced environment that is constantly changing
BS/MS in a quantitative field (Computer Science, Engineering, Mathematics, Statistics, etc.)

EOE, including disability/vets",3.5,"TRANZACT
3.5","Fort Lee, NJ",-1,1001 to 5000 Employees,1989,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Data Scientist,$106K-$171K (Glassdoor est.),"As an Information Technology Specialist (Data Management), referred to here as Data Scientist, you will provide technical expertise to accomplish analysis of options and development of the design for advanced data systems, software, and complex programming specifications.This job does not have an education qualification requirement.This job will close when 200 applications are received, which may be sooner than the closing date.

Subject Matter Experts will evaluate the first two pages of your resume based on the competencies below. You must have at least one year (52 weeks) demonstrating accomplishment of the duties and competencies. You must list the start and end dates (month and year) for all relevant experience.

Your qualifications will be evaluated on the following competencies. The first three (3) required competencies must be reflected in your resume. Additionally, you must have at lease one (1) of the latter three (3) competencies reflected in your resume.

Meet all Three (3) Required Competencies:

COMMUNICATIONS AND COLLABORATION: Translate complex concepts and findings into concise, plain language consistent with mission goals that can be easily understood by a wide audience. Collaborate using tools like GitHub in a reproducible and organized manner on urgent project work while being responsive to a variety of stakeholders and team members with varying technical skills.

DATA ANALYSIS: Conduct observational analyses using R or Python to explore data, test hypotheses, predict outcomes, and inform decisions. Derive meaning from structured, loosely structured, and unstructured data. Comfortable working with large datasets and numerous confounding variables.

DATA WRANGLING : Programmatically transform, combine, and clean data in preparation for analysis. Apply appropriate techniques for dealing with imperfect data such as probabilistic matching and imputation of missing values. Document data definitions and issues for future reference.

Meet at least One (1) of Three (3) Additional Competencies:
DATA VISUALIZATION: Use code-based data visualization tools (e.g., R, Python, D3) to implement graphics, charts, and complex data visualizations. Research and design visualizations tailored to specific audiences, including interactivity and narrative storytelling where appropriate.

DATA SOURCE MONITORING AND IMPROVEMENT: Ensure that data sources are fit for their intended purpose through assessment of current data quality, monitoring for incoming changes in data quality, and improvement of data quality. Recommend improvements to upstream processes to improve data quality.

DATA ENGINEERING AT SCALE: Design, develop, and operate systems for acquiring, ingesting, storing, and analyzing data at scale. Use data parallelization techniques or streaming technologies to process data. Monitor data flows and stored datasets to make improvements to data collection and ingestion mechanisms.""

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.

Click the following link to view the occupational questionnaire: https://apply.usastaffing.gov/ViewQuestionnaire/10901452",4.1,"Centers for Medicare & Medicaid Services
4.1","Woodlawn, MD",-1,5001 to 10000 Employees,1977,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
Data Scientist,$106K-$171K (Glassdoor est.),"Back to search results
Previous job

Next job

JOB DESCRIPTION

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Mars Petcare Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of pets and pet owners to not only power Kinship’s businesses but also influence the next great ideas in the pet care space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, our pets, and pet owners everywhere. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply advanced analytics & data science approaches to understand and predict pet and pet owner behaviors
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and pet/pet owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are passionate about our mission: Shaping the Future of Pet Care. For all of our Kinship roles, we look for candidates who exemplify our core values. We believe what we do is just as important as how we do it, and we aim to hire people who are:
Optimistic
Purposefully Inquisitive
Open to All
And for this role, we hope you have the following skills we require to knock it out of the dog park:
Truly inspired by, and want to live, our purpose of creating a better world for pets.
4+ years’ experience in a data science role handling varied and complex data
Varied technical experience in delivering statistical analytics, data science and insight on large-scale consumer data sets across multiple sectors, including packaged goods and retail
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience
Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how technical concepts to both non-technical and technical stakeholders.
WHY JOIN US?

We offer our associates a unique opportunity to have a completely customizable career within pet care. Through Kinship you will work with and learn from a community of industry executives, pet partners, entrepreneurs, and fellow associates across our startup investment companies, outside partners, and in Mars Petcare. Our nimble and flexible approach to work allows you to make an immediate impact across businesses, while learning new skills at every stage. The diversity of our work opens doors to big opportunities and unlocks enormous potential for countless career experiences in pet care. Join us in our mission to chart the future of pet care, alongside the industry’s brightest minds.

Kinship’s offices are global, and so are our associates. We are located in NYC, San Francisco, Portland, London, Helsinki, Shanghai, and in Moscow. Many of us flex between our dog-friendly hubs and our home offices. Today, Kinship offers exceptional benefits for you, your family, and your pets, generous paid time off, exponential opportunities to build a career within pet care, and progressive reward packages. Interested? Let’s take big strides, together.",4.0,"Mars
4.0",United States,-1,10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Scientist,$106K-$171K (Glassdoor est.),"The Organization

We help society’s foundational institutions—healthcare and higher education—to achieve their full potential in service to others.

We are our clients’ trusted partners in ever-changing times. For more than 30 years, Kaufman Hall has provided independent, objective insights grounded in sound data and analysis to help clients fulfill their missions, achieve their goals, and tackle their toughest problems.

Kaufman Hall provides world-class management consulting in strategic financial planning (a concept we created); performance improvement; partnerships, mergers, and acquisitions; and treasury and capital markets. Kaufman Hall’s consulting is supported by a deep foundation of benchmarking and software tools.

At Kaufman Hall, we believe that sustained success is never an accident. It is the result of sound decision making, based on data-driven analysis and disciplined thinking, and guided by the fundamental principles of corporate finance.

The Position

Kaufman, Hall& Associates, LLC, is seeking a Data Scientist with deep expertise in statistical analysis, an inherent curiosity for data and analytics, and the right business acumen to transform data into insight to help Kaufman Hall advance a variety of our practices.

Kaufman Hall is uniquely situated with both a thriving management consulting and software business, which provides access to a great deal of data assets, subject matter experts, and deep client relationships. We have recently started a data division and are looking for high-quality individuals to play a significant role in helping to build the practice.

We are currently looking for a talented and motivated individual to work on statistical analyses and business intelligence platforms to advance all of Kaufman Hall’s practices. This is an exciting opportunity to join Kaufman Hall and apply the latest tools and methods in statistics, big data, data science, and business intelligence to a variety of internal and client business problems. In this role you will be supporting and building Kaufman Hall’s data division.

Primary Responsibilities:

• Develops creative and analytically driven solutions by employing operations research, advanced statistical and mathematical science techniques such as machine learning/AI, mathematical modeling, statistical analysis, linear and non-linear regression analysis, stochastic modeling, and mathematical optimization

• Understands the benefits and limitations of various statistical and mathematical approaches and can communicate to colleagues and clients

• Utilizes advanced mathematical& statistical methodologies, to develop scenario modeling events in partnership with directors, leadership, and consultants to assist clients in transforming their enterprise

• Creates complex models and algorithms drawing from diverse, large and complex data. Translates client and consultant requirements& constraints into mathematical models

• Builds analytical/optimization models to improve the financial and patient care metrics.

• Participates in client and internal discussions to explain model output

• Participates in research to continually advance analytical, operations research, and process improvement methodologies to complex industrial problems

• Advises software developers in the creation of commercial products

• Creates reference documents as necessary to memorialize, replicate, and sustain data outputs

Qualifications

• 3+ years of progressive experience required. Healthcare finance/operations experience is preferred. Prior consulting experience preferred.

• Knowledge and experience in utilizing applied mathematics to a business setting such as machine learning/AI, linear programming, severity and risk modeling, optimization modeling, operations research, and logistics science

• Proficiency in Python. Front-end/web application experience a plus.

• Possess basic skills related to planning, budgeting, forecasting, financial, and clinical process/outcome reporting. Understands the interdependencies of these systems.

• Ability to assess client/project needs, outline project goals, define project deliverables, and establish timelines

• Proficiency with Microsoft Excel, Word, Power Point, and current business applications and software.

• Strong oral, written, presentation and interpersonal communication skills

• Self-directed learner who demonstrates intellectual curiosity, operates independently, and works efficiently in an inter-disciplinary team environment

• An entrepreneurial spirit that is inquisitive, proactive, interested in learning new tools and techniques

• Unquestionable commitment to personal and corporate integrity in every situation

• Current Permanent US Work Authorization Required

Education:

• Bachelor’s Degree in data science or analytical or business-related field required

• Master’s degree in data science, operations research, statistics or related field preferred

Kaufman, Hall,& Associates, LLC. is an equal opportunity/affirmative action employer. All qualified applicants will be considered without regard to age, race, color, religion, sex, national origin, marital status, ancestry, citizenship, veteran status, sexual orientation or preference, or physical or mental disability or other legally protected category.",3.5,"Kaufman Hall
3.5","Chicago, IL",-1,201 to 500 Employees,1985,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1
Data Scientist,$106K-$171K (Glassdoor est.),"As Data Scientist in the Pricing Analytics team you will shape HPs future of how we set prices. We are a very dynamic, highly skilled and diverse global team consisting of economists, statisticians, engineers, scientists or even musicians, who are pushing the innovation frontier in pricing. Working with us you will combine your economic thinking, statistical modeling, experimentation and optimization methods to build complex pricing algorithms for most popular Printers and PCs in the market.

About you:
You have deep interests in customer and market behavior and methods to measure and anticipate it
You are passionate about unveiling answers to most difficult questions using data and models
You feel accomplished seeing your pricing recommendations being implemented while shopping for yourself
You cant stop thinking about learning something new every day and enjoy being surrounded by highly talented people
Key responsibilities:
Develop and apply statistical methods and experimentation to analyze the effect of pricing and sales decisions on business performance
Collaborate with internal stakeholders to design and deploy pricing initiatives based upon analytical findings
Present results and recommendations to relevant stakeholders, including senior leadership
Requirements:

Must-haves:
At least 3 years working experience in data science, ideally in a consumer-focused setting
Experience in designing, deploying, and analyzing in-market experiments and/or AB tests
Ability to think creatively and invent original solutions to business and modelling challenges
Proficiency with R and/or Python is required
Proficiency in Microsoft Excel and Microsoft PowerPoint
Excellent written and verbal communication skills with an ability to influence key decision makers
Master's or PhD degree in Quantitative Marketing, Business, Statistics, Economics, Psychology, or other relevant quantitative discipline
Bonus points for:
Interest in pricing, economics, and consumer behavior
Experience in deploying data science in a retail environment
Understanding of CRM and customer segmentation
Knowledge of price optimization approaches, price discrimination models and a general knowledge of main concepts from the industrial organization literature
Basic understanding of finance and product economics
Experience in project and/or product management
Reinventing since 1939. We are one of the leading Print and Personal Systems technology companies in the world and our vision is to create technology that makes life better for everyone, everywhere. Joining HP is joining an adventure to reinvent the tech world and reinvent yourself every day!

#LI-post",4.1,"HP Inc.
4.1","San Diego, CA",-1,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
"Translational Data Scientist, NIBR Translational Medicine",$106K-$171K (Glassdoor est.),"20-Aug-2020

Job ID
300507BR
{""QuestionName"":""Job Description"",""AnswerValue"":""20. That’s how many years of data we have in our informatics systems! Enriched every day by more than 1000 Translational Medicine scientists. If you like data, there is no better place to be!

Who are we?

Our team of 30 Data Scientists are leveraging this data to accelerate drug development. NIBR Translational Medicine is in charge of creating data needed for submission of all Novartis drugs: Toxicology, DMPK, Phase I and II Clinical Trials, and most clinical Omics. We have one of the richest data pool in the Pharma world.
As a Translational Data Scientist, using your knowledge of research, you will analyze the Translational Medicine data landscape, and design ways to integrate data to speed up its analysis and the project delivery. Creating new capacities for Translational Medicine teams by easing access to data, relevant algorithms, and visualizations as part of the Novartis Digital Strategy, you will make drug development faster.

Your main responsibilities will be to:
• Organize access to data via APIs, applications and textual and graphical representations of the data in close collaboration with data scientists. Build application Proof of Concepts with selected scientists, organize scale up with relevant partners and release to NIBR community.
• Push community adoption of techniques and tools crafted by supporting power users and coordinating training sessions.
• Be a liaison between partners involved: scientific teams having data intensive needs, teams crafting enterprise solutions, internal and external partners producing similar solutions.
• Maintain expertise in methodologies for data handling, visualization and User Experience
• Mentor and encourage others to tackle problems
Posting Title
Translational Data Scientist, NIBR Translational Medicine",4.0,"Novartis
4.0","Cambridge, MA",-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Fundamental Analyst Intern (Summer 2021),$106K-$171K (Glassdoor est.),"Founded in 1998, Tower Research Capital LLC is a leader in the thriving field of quantitative trading. Working at Tower means collaborating with bright minds from around the world to create cutting-edge technology and tackle challenging technical problems. We're engineers and pioneers who use scientific principles to identify market opportunities and who think Mondays look better in jeans and a t-shirt than in a suit and tie.

Responsibilities:

Our traders execute lightning-fast algorithmic strategies based on patterns in market behavior in over 100 markets worldwide. As a Fundamental Analyst Intern, you'll draw upon your financial knowledge and mathematical and analytical abilities to produce equity research and valuation models used to grow our business and increase the efficiency of the global financial markets.

Your responsibilities may include any of the following, which will require you to exercise discretion and independent judgment:
Covering a set of US stocks and deeply understanding the drivers behind their valuations
Generating new investing and trading ideas and appropriately pricing possible risks and rewards
Anticipating and reacting to market-moving information during the trading day
Performing historical research and finding automation opportunities to increase efficiency
Actively seeking ways to improve the team's profitability
Qualifications:

You are talented, driven, and hungry for a challenge. You believe that there's no limit to what we can accomplish together in a creative, collaborative setting which pairs passion with brilliance. If you refuse to settle for a career that offers anything less, we want to meet you!
Currently on track to complete a Bachelor's, Master's, or PhD degree
Majoring in economics, mathematics, financial engineering, computer science or related fields
Proficient in Excel and corporate valuation techniques
Trading and investing experience (equity/equity derivatives a plus)
Familiarity with statistics, data analysis, and machine learning (a plus)
Knowledge of an object-oriented programming language (a plus)
Brilliant problem-solving abilities
A passion for new technologies and ideas
The ability to manage multiple tasks in a fast-paced environment
Strong communication skills
Benefits:

Tower's office is located in River North, a neighborhood in central Chicago, just north of the Loop. While we work hard, Tower's cubicle-free workplace, jeans-clad workforce, and well-stocked kitchens reflect the premium the firm places on quality of life. Benefits include:
Competitive compensation
Housing
Free breakfast, lunch, and snacks on a daily basis
Company events and learning opportunities
Mentors from your alma mater and other top engineering institutions",3.8,"Tower Research Capital
3.8","Chicago, IL",-1,501 to 1000 Employees,1998,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1
Data Scientist,$80K-$132K (Glassdoor est.),"Are you interested in making a world of difference in cancer care?

Cancer strikes more than 10 million people worldwide each year. As the leading medical society representing doctors who care for people with cancer, the American Society of Clinical Oncology (ASCO) is committed to conquering cancer through research, education, and promotion of the highest quality patient care.

Who we are:
ASCO is a stable, forward-thinking membership organization that operates in a results-oriented work environment in which employees’ evaluation emphasizes performance outcomes over presence or time. This is an Alexandria, VA position that offers an excellent benefits package and opportunities to participate in professional development programs. To learn what it’s like to work at ASCO, click here.

Who we are looking for:

CancerLinQ® of the American Society of Clinical Oncology is in search of a Data Scientist to join the Data Operations team and to serve as a Natural Language Processing (NLP) data lead. The selected candidate will work closely with CancerLinQ development and informatics team members to coordinate and meet the data needs of CancerLinQ products, curation vendors, and licensees. In addition, this position may contribute in addressing broad data completeness or quality enhancements and participate in other informatics-related tasks.

What you will do:
Develop queries and analytical tools to extract key data elements in unstructured data for deployment in NLP tools
Analyze data in CLQ data repositories to answer inquiries from customers and licensees about codified and uncodified content in CancerLinQ. In particular, assess the ability of CLQ data to successfully carry out specific research projects/programs proposed by CLQ customers and licensees.
Work with informatics team members to create reports necessary for internal tracking and monitoring of all unstructured data received from CLQ oncology practices and for NLP-derived data
Lead or support the development of scripts, queries, tables, and automated reports
Conduct data quality analysis and identify root cause and resolution of issues as needed
Perform research and identify technical solutions, including automation, for errors or issues identified in unstructured data received from CLQ subscribers in accordance with quality standards
Validate clinical data based on standardized nomenclature, coding systems and relevance to clinical practice
Compile and deliver unstructured data sets from CLQ data resources to meet specific research projects/study requests and ensure the data sets meet CLQ standard data quality requirements
Identify and execute pipeline performance enhancements in coordination with development team
Carry out ad hoc analysis as required/requested by CancerLinQ staff/management and CLQ customers and licensees
What you will need in order to be successful:
Bachelor’s degree in a scientific/mathematical field with relevant experience (3-5 yrs)
Experience with Natural Language Processing technologies, design of key NLP metrics, machine learning and tools (John Snow Laboratories, Linguamatics, or related)
Reporting experience (Tableau or Looker is desirable)
Experience with one of more of the following: Python, Spark/SQL, PySpark, SQL Server
Familiarity with standard clinical data, vocabularies, EMRs, EHRs or clinical registries
Experience working with informatics teams to perform modeling, data manipulation, analysis of data quality and validation
Ideal candidates will also contribute:
Oncology-specific experience and domain expertise desirable
Experience working within Agile teams
Masters or Ph.D. in a scientific or a mathematic filed
Position Competencies:
Excellent written and oral communication
Attention to detail
Analytical thinking
Ability to come up with solutions and think outside of the box
Problem-solving and identifying root cause analysis
Ability to work in a fast-paced, multidisciplinary team-based setting
ADA/Physical Requirements

No special requirements

Travel

No travel required

ASCO is proud to be an Equal Opportunity Employer (EOE)",3.8,"American Society of Clinical Oncology
3.8","Alexandria, VA",-1,201 to 500 Employees,1964,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Software Engineer Intern,$80K-$132K (Glassdoor est.),"Software Engineer Intern

Fivestars is looking for Summer 2021 interns (May-August 2021) to join our engineering team and build the next generation of products to help small businesses and local communities thrive. In this role you'll gain hands-on experience with Kubernetes, Kafka, React, ElasticSearch, Python, TypeScript, and the rest of our tech stack that supports over 12,000 merchants and 40 million customers. We'll provide you with all the mentorship, support, engagement, and real-time feedback that you need to accelerate your learning and make an impact on the Fivestars product.

Who you are

You're currently pursuing a degree in Computer Science or a related field and want to solve complex and interesting problems. You demonstrate a high level of curiosity and thirst for learning. You are a strong team player who wants to contribute to a product that impacts the lives of business owners and consumers alike.

What you'll do
Ship code to production and have fun while doing it!
Work on one of our product teams alongside senior engineers -- our teams are full-stack and contribute anywhere from back-end APIs and databases down to front-end UI on each of our surfaces.
Collaborate with the engineering and product team, occasionally pair program, and learn all about agile code review and test architecture.
Be paired with an engineering mentor who will guide you through the entire internship.
Be a full-fledged contributing member of the engineering team participating in daily scrums, weekly strategic sprint-plannings, monthly retrospectives, weekly brown bag lunch & learns, and bi-weekly show & tell product townhalls.
Actively engage in a robust internship experience where you'll learn what it's like to be a full-time engineer at Fivestars, participate in lunch & learns with our CEO, CTO, and leadership team, and enjoy monthly events such as hackathons, retreats, social outings, and volunteering events.
Occasionally eat a piece of pizza or two or six.
What we're looking for
Currently pursuing a Bachelor's degree in any of the following: CS, EE, Physics, Math.
Strong team player - we work in small product teams that work very closely together and are constantly collaborating in order to move as fast as possible.
Excel at structured and quantitative thinking and problem-solving.
Love to crank out code and hack on problems in your free time.
Previous internship experience is not required but is preferred.
Who we are

At Fivestars, our mission is to help businesses and communities thrive by turning every transaction into a relationship. Over 50 million people use Fivestars to get rewarded at more than 14,000 local businesses with one rewards program. Local businesses use Fivestars to bring more customers into their stores with an all-in-one marketing and payments program. Fivestars facilitates over $3 billion in local commerce across its network per year. Fivestars has raised $105 million from HarbourVest, Menlo Ventures, Lightspeed, DCM, Y-Combinator, and others. Together, let's love local. Visit www.fivestars.com for more information.

Fivestars provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Fivestars complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.",4.2,"Fivestars
4.2","San Francisco, CA",-1,201 to 500 Employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
Data Scientists with TS/SCI,$80K-$132K (Glassdoor est.),"Veteran Owned Firm Seeking Data Scientists with TS/SCI to support a client in Springfield, VA

My name is Stephen Hrutka, and I am the owner of a Veteran-owned firm in Washington, DC focused on Supply Chain, Strategic Sourcing, and Technical/Cleared Recruiting.

HRUCKUS helps other Veteran Owned businesses recruit for positions across the SBA, HHS, DARPA, and other cutting-edge R&D related defense agencies.

We are looking to hire (2) data scientists to support NGA in Springfield, VA. The role is remote to start, no idea when traditional onsite will begin.

Please see below for the position description. If you’re interested, I'd be glad to provide more details about the role and further discuss your qualifications.

Thanks,

Stephen M Hrutka
Principal Consultant
www.hruckus.com

Position Tasks:
Develop Python or R code to read/categorize large amounts of unstructured data
Develop code to evaluate Intelligence Information Reports (IIRs) for metadata accuracy
Develop code that recognizes and extracts entities from IIRs w/ 90% accuracy
Visualize data derived from structuring of unstructured/semi-structured data
Brief results of code development to leadership to include methods, limitations, and assumptions
Position Deliverables:
Monthly reports
Code modules using Natural Language Processing to analyze multiple unstructured data files and database the information derived
Code modules using Entity Recognition to analyze multiple unstructured data files and identify all people, groups, and categories of objects
Code modules using Latent Semantic Indexing to analyze multiple unstructured data files and database the information derived
Develop code that can be stand-alone or incorporated into existing applications
Visualizations of large data sets, bringing forward unobscured data, and enabling personnel to understand the data quickly
Position Requirements:
Government Security Clearance
Minimum of (3) years of experience related to the following areas: parametric and non-parametric statistical methods; visualizing statistical effects in complex datasets; performing statistical data analysis in Python and/or R; providing and explaining clear analytical results in well-written reports
Ability to write and execute queries in SQL
Ability to visualize data with aid of data visualization tools such as Tableau
Bachelor’s degree in computer science or related field
Ability to work in distributed systems and to develop creative solutions to data problems
Experience with database tools
Preferred Qualifications:
Statistical Modeling: 10 years
Natural Language Processing: 5 years
Python and R: 3 years
Latent Semantic Indexing: 5 years
SQL: 3 years
Tableau: 1 year
Entity Recognition: 5 years",5.0,"HRUCKUS
5.0","Springfield, VA",-1,1 to 50 Employees,2013,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1
Software Engineer Intern (Python),$80K-$132K (Glassdoor est.),"At Vectorworks, we are taking necessary measures to navigate the changing circumstances we are faced with. Unfortunately, we are not in a position of hiring at this time. However, we are currently accepting full-time and internship applications for future consideration. For student candidates, our summer internship session has been cancelled, however we encourage you to complete an application so that we can consider your candidacy when the internship program resumes.
Thank you for your patience and understanding as we move through these difficult times.
-Vectorworks Talent Acquisition Team
***
What’s in it for you?
Calling all sharp, results-driven students: Vectorworks, Inc. seeks a Software Engineer Intern to join our Systems Development team for a dynamic internship opportunity this summer. The intern will help us build reliable, scalable applications for intern business systems and customer and partner-facing portals, supporting Vectorworks, a leading CAD/BIM package sold in 85 countries around the world.
This intern will work with and be exposed to a range of technologies while building brand new features, creating enhancements and solving engineering problems. If you are looking to gain valuable work experience in systems and application development, keep reading!

In this role, you should expect to:
Contribute to multiple aspects of our internal applications, from front end web development to back end web development, building our APIs and database design
Investigate and identify bugs to determine appropriate fixes
Implement business logic
Test development code
Work on multiple projects concurrently and have the flexibility to tackle new needs quickly

Why do you want this job? Because you are:
A hard-working and dedicated college junior, senior, or recent graduate (no more than 6 months upon graduation) who is looking to gain valuable work experience in the field of software systems engineering
Creative, innovative, and willing to work with a team and individually
A self-starter with the ability to show initiative, multi-task, prioritize, and meet deadlines
Why do we want you? Because you have:
A GPA above 3.0
Interest in pursuing a career in software systems engineering
Proficiency with Python and strong Linux experience
Excellent problem solving and troubleshooting skills, and a passion for root cause analysis and problem resolution
Willingness to work in a team environment as well as independently
Extra Credit:
Working knowledge of AWS, Django, REST APIs and JavaScript
Experience with database query languages and full stack web development
Eligibility requirements for internships:
Internships requires working a minimum of 16 hours per week with a maximum of 40 hours per week
You must be at least 18 years of age, enrolled in an undergraduate program entering your junior or senior year, enrolled in a graduate program, or a recent graduate (no more than 6 months upon graduation)
This is a paid internship and compensation will be based on applicant’s qualifications. We currently do not provide housing, relocation, or transportation reimbursement
Interns are not eligible for company benefits
2020 Internship sessions:
Summer: June 1 - Aug 21
Vectorworks Inc. is an Equal Opportunity/Affirmative Action Employer",3.1,"Vectorworks
3.1","Columbia, MD",-1,201 to 500 Employees,1985,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1
